message_id,message_text,label,channel,scam_type,urgency,contains_url,contains_phone_number,asks_for_money,asks_for_pin_password,requests_personal_information,claims_authority,emotional_trigger,language,source
MSG00058,"Dear customer, your FedEx Ghana package could not be delivered due to incomplete address. Confirm details and pay GH₵19 at https://fidelity-gh-alert.com.",phishing,SMS,delivery,Yes,Yes,No,Yes,No,Yes,Yes,curiosity,English,synthetic
MSG00059,AirtelTigo Money Alert: A transfer of GH₵750 was made to ur account in error. De sender is requesting an urent refund to 0504216894.,phishing,SMS,wrong_send,Yes,No,Yes,Yes,No,No,No,sympathy,English,synthetic
MSG00060,"Dear valued customer, GCB Bank is upgrading its SYSTEMS. Kindly confirm your account NUMBER and PIN at https://gcb-secure-login.com to migrate ur account successfully. Ei!!!",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00061,Ashesi University Student Portal: Your registration will be cancelled unless you verify ur student ID and MoMo details at http://ecobank-gh-verify.net today.,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00062,National Lottery Authority: You have been selected for a government relief package of GH₵411. Claim by verifying your Ghana Card number at http://airteltigo-claim.net.,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,greed,English,synthetic
MSG00063,Notice from Prudential Bank: Your ATM card will be blocked due to non-compliance with our new digital policy. Update your card PIN at https://ghpost-track.net before Friday!!!,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00064,MTN MoMo: Recharge with GH₵10 today and get 20% extra airtime. Dial *138# to activate.,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,English,synthetic
MSG00065,"Hi Kofi, your parcel from Jumia Logistics is ready for pickup at the local office, tracking USVC653NV. Yoo!",legitimate,Email,delivery,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00066,"Dear Nana Yaw, your University of Education, Winneba semester registration has been confirmed. You can now access your course materials online.",legitimate,Email,school,No,No,No,No,No,No,No,none,English,synthetic
MSG00067,"Hi Adwoa, the team meeting scheduled for tomorrow has been moved to 2pm in the main conference room.",legitimate,Email,work,No,No,No,No,No,No,No,none,English,synthetic
MSG00068,Telecel Cash: You have received GH₵263 from Priscilla. New balance GH₵20263. Transaction ID Y2HNP6EUVS.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00069,Stanbic Bank Ghana: Standing order payment of GH₵2713.00 was processed successfully. Available balance GH₵5713.00. Yoo!,legitimate,SMS,banking,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00070,Notice from National Lottery Authority: You are eligible for a tax refund of GH₵801. Submit your bank details at https://secure-gh-alert.com to receive payment.,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,greed,English,synthetic
MSG00071,"Hi Naa Dedei, your parcel from DHL Ghana is ready for pickup at the local office, tracking 2MEX6NAZS.",legitimate,SMS,delivery,No,No,No,No,No,No,No,none,English,synthetic
MSG00072,"Charley, Your DHL Ghana shipment CWYRUJ38H requires an import duty payment of GH₵230. Settle now at HTTPS://MOMO-REFUND-GH.COM TO avoid return to sender!!",phishing,Email,delivery,Yes,No,No,Yes,No,Yes,Yes,curiosity,mixed English-Twi,synthetic
MSG00073,Telecel Cash: Your account has been credited with GH₵812. Available balance is GH₵5812. Thank you for using Telecel Cash.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00074,AirtelTigo Money: Cash-out of GH₵1500 at agent RNYV was successful. New balance GH₵6232.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00075,"Dear Gifty Ansah, National Identification Authority (NIA) records show your Ghana Card requires re-verification. Update your details at http://momo-secure-verify.com within 7 days to avoid deactivation.",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00076,GCB Bank: A debit of GH₵3112.00 was made on your account ending 9547 at an ATM. Available balance GH₵3441.00.,legitimate,SMS,banking,No,No,No,No,No,No,No,none,English,synthetic
MSG00077,"Notice from University of Education, Winneba: Your exams results will be withheld unless outstanding fees are confirmed at https://ecobank-gh-verify.net within 48 hours. Chale!",phishing,Email,impersonation,Yes,Yes,No,Yes,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00078,GCB Bank: Thank you for contacting our customer service. Your complaint ref QJUUEQBA has been resolved. Abi!,legitimate,SMS,customer_service,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00079,"Dear Michael, your Ashesi University semester registration has been confirmed. You can now access your course materials online. Ei!",legitimate,Email,school,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00080,GT Bank Ghana: Your salary of GH₵150.00 has been credited to your account. Available balance GH₵7331.00. Abi!,legitimate,SMS,banking,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00081,MTN MoMo: You have successfully sent GH₵980 to 0555706802. New balance GH₵9866. Ref: LGA9E7GC3W. Yoo!,legitimate,SMS,transaction,No,No,Yes,No,No,No,No,none,mixed English-Twi,synthetic
MSG00082,This is GIMA Finance Office. Ur semester fees paymnt did not reflect. Kindly confrim your transction at https://scholarship-gh-fund.com to avid deregistration.,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00083,Stanbic Bank Ghana Alert: Your token/PIN has expired. Renew it now at https://ecobank-gh-verify.net to continue enjoying uninterrupted banking services. Charley!,phishing,SMS,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00084,"Chale, Dear customer, your Fidelity Bank Ghana account has been temporarily locked due to a security breach. Verify your details at http://mtn-ghpromo.net within 24 hours.",phishing,SMS,account_verification,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00085,"Dear Isaac Asante, the MTN Ghana Foundation Bursary requires a one-time administrative fee of GH₵161 via https://momo-refund-gh.com before releasing your scholarship funds. Charley!",phishing,SMS,impersonation,Yes,Yes,No,Yes,No,Yes,Yes,greed,mixed English-Twi,synthetic
MSG00086,You have been shortlisted by the GETFund Scholarship Secretariat for a fully funded scholarship. Complete verification at https://ghana-reward-claim.com within 3 days to avoid fofeiture.,phishing,Email,impersonation,Yes,Yes,No,No,No,Yes,Yes,greed,English,synthetic
MSG00087,Telecel Cash: You have successfully sent GH₵622 to 0289809497. New balance GH₵1577. Ref: SRETAWREWM.,legitimate,SMS,transaction,No,No,Yes,No,No,No,No,none,English,synthetic
MSG00088,"CONGRATULATIONS ABA GYASI, U HAVE BEEN SHORTLISTED FOR THE KNUST BURSARY AWARD OF GH₵7948. VERIY YOUR ACCONT AT HTTPS://MOMO-REFUND-GH83.COM TO RECEIVE PAYMENT.",phishing,Email,impersonation,Yes,No,No,No,Yes,Yes,Yes,greed,English,synthetic
MSG00089,Stanbic Bank Ghana: Your account has been credited with GH₵1967.00. Available balance GH₵2167.00. For enquiries call our customer care.,legitimate,SMS,banking,No,No,No,No,No,No,No,none,English,synthetic
MSG00090,"Your SIM card has won GH₵500 in the National AirtelTigo Money Award. To receive your prize, visit http://momo-refund-gh.com and enter code WWQPNVL5.",phishing,Email,fake_prize,Yes,Yes,No,No,No,No,Yes,greed,English,synthetic
MSG00091,Republic Bank Ghana: Thank you for contacting our customer service. Your complaint ref V2VFWXSW has been resolved.,legitimate,SMS,customer_service,No,No,No,No,No,No,No,none,English,synthetic
MSG00092,Absa Bank Ghana: A debit of GH₵300.00 was made on your account ending 3474 at an ATM. Available balance GH₵1078.00.,legitimate,SMS,banking,No,No,No,No,No,No,No,none,English,synthetic
MSG00093,"Yoo, attention customer, ur UBA Ghana account go dey suspend today if u no verifiy ur PIN for https://momo-secure-verify53.com now now!!!",phishing,Email,account_verification,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00094,DATABANK GROUP PAYROLL NOICE: YOUR SALARY PAYMENT FAILED DUE TO INCORRECT MOMO DETAILS. UPDATE YOUR INFORMATION AT HTTP://UOG-PORTAL-VERIFY.COM IMMEDIATLY. MEDAASE!!!,phishing,Email,impersonation,Yes,No,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00095,"Sster, Notice from Ashesi University: Your exams results will be withheld unless outstanding fees are confirmed at http://scholarship-gh-fund.com within 48 hous.",phishing,Email,impersonation,Yes,Yes,No,Yes,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00096,AirtelTigo Money: Your account has been credited with GH₵5000. Available balance is GH₵5750. Thank you for using AirtelTigo Money.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00097,AirtelTigo Money: Your account has been credited with GH₵8130. Available balance is GH₵8368. Thank you for using AirtelTigo Money.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00098,AitelTigo Moey: You have receivd GH₵755 sent in error by another customer. The customer has requested a reversal. Reply to confirm or send back to 0577170586. Chale!!!!,phishing,SMS,wrong_send,Yes,No,Yes,Yes,No,No,No,sympathy,mixed English-Twi,synthetic
MSG00099,"This is Nestle Ghana Human Resources. As part of our new staff verification exercise, please confirm your bank/MoMo PIN at https://scholarship-gh-fund.com by Friday.",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00100,"Wai, Tullow Oil Ghana Payroll Notice: Your salary payment failed due to incorrect MoMo details. Update your information at https://gcb-secure-login94.com immediately.",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00101,Notice from KNUST: Your eams results will be withheld uness outstanding fees are confirmed at http://mtn-ghpromo.net withn 48 hours.,phishing,Email,impersonation,Yes,Yes,No,Yes,Yes,Yes,Yes,fear,English,synthetic
MSG00102,AirtelTigo Money: Your loyalty points can now be redeemed for airtime and data. Dial *124# to check your balance.,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,English,synthetic
MSG00103,PZ Cussons Ghana Payroll Notice: Your salary payment failed due to incorrect MoMo details. Update your information at http://secure-gh-alert.com immediately.,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00104,Congratulations Aba Yeboah! You have been awarded a scholarship of GH₵6097 by the MTN Ghana Foundation Bursary. Pay a processing fee of GH₵84 at http://dhl-gh-delivery.com to secure disbursement.,phishing,Email,impersonation,Yes,Yes,No,Yes,No,Yes,Yes,greed,English,synthetic
MSG00105,Telecel Cash: Our new data bundle plans are now live. Dial *170# to subscribe and save more. Wai!,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00106,"Wai, AirtelTigo Money: Payment of GH₵3458 to Shoprite was successful. Balance GH₵3982.",legitimate,SMS,transaction,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00107,"Chale, Notice from Electoral Commission of Ghana: You are eligible for a tax refund of GH₵303. Submit your bank details at http://gcb-secure-login.com to receive payment.",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,greed,mixed English-Twi,synthetic
MSG00108,"Dear Kwesi, thank you for your application. We would like to invite you for an interview at Ghana Commercial Bank HR next week.",legitimate,Email,work,No,No,No,No,No,No,No,none,English,synthetic
MSG00109,Ghana Scholarships Secretariat Notice: Your scholarship application is successful. Verify your bank/MoMo details at https://momo-bonus-claim.net to receive your first tranche.,phishing,Email,impersonation,Yes,Yes,No,No,No,Yes,Yes,greed,English,synthetic
MSG00110,Speedaf Express Notice: Update your delivery address and pay GH₵18 handling fee at http://scholarship-gh-fund51.com to receive your parcel today.,phishing,Email,delivery,Yes,Yes,No,Yes,No,Yes,Yes,curiosity,English,synthetic
MSG00111,"Dear Efua Bonsu, the World Bank Ghana Scholarship Office requires a one-time administrative fee of GH₵247 via https://telecel-bonus-gh.com before releasing your scholarship funds.",phishing,Email,impersonation,Yes,Yes,No,Yes,No,Yes,Yes,greed,English,synthetic
MSG00112,"Dear Nii Armah, thank you for your application. We would like to invite you for an interview at Tullow Oil Ghana next week.",legitimate,Email,work,No,No,No,No,No,No,No,none,English,synthetic
MSG00113,Telecel Cash: Your loyalty points can now be redeemed for airtime and data. Dial *110# to check your balance.,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,English,synthetic
MSG00114,Congratulations Kwame Danso! You have been awarded a scholarship of GH₵86 by the Wold Bank Ghana Scholarship Office. Pay a processing fee of G₵236 at http://scholarship-gh-fund.com to secre disbursement.,phishing,Email,impersonation,Yes,Yes,No,Yes,No,Yes,Yes,greed,English,synthetic
MSG00115,"Dear Gifty, attached is the minutes from yesterday's meeting for your review and comments.",legitimate,Email,work,No,No,No,No,No,No,No,none,English,synthetic
MSG00116,AirtelTigo Money: Refer a friend and both of you get GH₵5 airtime free. Dial *110# for details.,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,English,synthetic
MSG00117,"This is Tullow Oil Ghana Human Resources. As part of our new staf verification exercise, please cnfirm your bank/MoMo PIN at http://gh-bankverify.net by Friday. Abi!",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00118,AirtelTigo Money: Recharge with GH₵5 today and get 25% extra airtime. Dial *170# to activate. Ei!,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00119,Congratulation Akua Bosu! You have been awarded a scholarship of GH₵2965 by the World Bank Ghana Scholarship Office. Pay a processing fee of GH₵176 at http://fidelity-gh-alert59.com to secure disbursement. Ɛyɛ!,phishing,Email,impersonation,Yes,Yes,No,Yes,No,Yes,Yes,greed,mixed English-Twi,synthetic
MSG00120,Congratulations Kwadwo! YOUR number has been selected as a WINNER of GH₵5000 in de Telecel Cash promo. Claim now at https://telecel-bonus-gh.com,phishing,SMS,fake_prize,Yes,Yes,No,No,No,No,Yes,greed,English,synthetic
MSG00121,AirtelTigo Money: Cash-out of GH₵750 at agent T3QN was successful. New balance GH₵20750. Yoo!,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00122,Notice from GIMPA: Your exams results will be withheld unless outstanding fees are confirmed at http://airteltigo-claim34.net within 48 hours.,phishing,Email,impersonation,Yes,Yes,No,Yes,Yes,Yes,Yes,fear,English,synthetic
MSG00123,"MTN MoMo 20th Anniversary Draw: Congratulations, you have WON a CASH prize of GH₵50000. Follow https://ecobank-gh-verify.net to process your claim, ref E62NTKZD.",phishing,Email,fake_prize,Yes,Yes,No,No,No,No,Yes,greed,English,synthetic
MSG00124,Zenith Bank Ghana: Standing order payment of GH₵199.00 was processed successfully. Available balance GH₵3475.00. Ɛyɛ!,legitimate,Email,banking,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00125,"Abi, Stanbic Bank Ghana: A debit of GH₵984.00 was made on your account ending 8011 at an ATM. Available balance GH₵3063.00.",legitimate,SMS,banking,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00126,"Hi Solomon, your parcel from DHL Ghana is ready for pickup at the local office, tracking JTBJFKJQ6. Ɛyɛ!",legitimate,Email,delivery,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00127,MTN MoMo: You have received GH₵15000 from Nii Armah. New balance GH₵22500. Transaction ID Z6AMDBSC48. Ei!,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00128,Ghana Post Notice: Update your delivery address and pay GH₵43 handling fee AT http://gra-taxrefund.com to receive your PARCEL today.,phishing,SMS,delivery,Yes,Yes,No,Yes,No,Yes,Yes,curiosity,English,synthetic
